region_id,province_id,city,total_population,household_population,number_of_households,_avg_per_household
NCR,NCR-MMA,City of Manila,1846513,1837785,486293,3.779172227
NCR,NCR-MMA,City of Mandaluyong,425758,419333,116954,3.5854524
NCR,NCR-MMA,City of San Juan,126347,124699,31519,3.956312066
NCR,NCR-MMA,City of Marikina,456059,452961,104415,4.338083609
NCR,NCR-MMA,Quezon City,2960048,2950493,738724,3.994039723
NCR,NCR-MMA,City of Pasig,803159,801439,212895,3.764480143
NCR,NCR-MMA,City of Makati,629616,624032,186381,3.34815244
NCR,NCR-MMA,City of Taguig,886722,882622,246873,3.575206685
NCR,NCR-MMA,City of Caloocan,1661584,1659025,404252,4.103937643
NCR,NCR-MMA,City of Malabon,380522,379463,94241,4.026517121
NCR,NCR-MMA,City of Navotas,247543,246743,63167,3.906201023
NCR,NCR-MMA,City of Valenzuela,714978,713181,193025,3.694759746
NCR,NCR-MMA,City of Las Piñas,606293,604283,156899,3.851413967
NCR,NCR-MMA,City of Muntinlupa,543445,519112,138331,3.752680166
NCR,NCR-MMA,City of Parañaque,689992,686313,182216,3.766480441
NCR,NCR-MMA,Pasay City,440656,437003,127629,3.424010217
NCR,NCR-MMA,Municipality of Pateros,65227,65064,15838,4.108094456
CAR,CAR-ABR,Bangued (Capital),50382,49982,12279,4.070526916
CAR,CAR-ABR,Boliney,4551,4548,871,5.221584386
CAR,CAR-ABR,Bucay,17953,17903,4339,4.126065914
CAR,CAR-ABR,Bucloc,2395,2395,480,4.989583333
CAR,CAR-ABR,Daguioman,2019,2019,414,4.876811594
CAR,CAR-ABR,Danglas,4074,4074,989,4.119312437
CAR,CAR-ABR,Dolores,11512,11509,2847,4.042500878
CAR,CAR-ABR,La Paz,16493,16483,4147,3.974680492
CAR,CAR-ABR,Lacub,3612,3586,676,5.304733728
CAR,CAR-ABR,Lagangilang,14914,14857,3415,4.350512445
CAR,CAR-ABR,Lagayan,4488,4487,1085,4.135483871
CAR,CAR-ABR,Langiden,3576,3576,802,4.458852868
CAR,CAR-ABR,Licuan-Baay (Licuan),4566,4554,993,4.586102719
CAR,CAR-ABR,Luba,6518,6510,1462,4.452804378
CAR,CAR-ABR,Malibcong,4027,4013,835,4.805988024
CAR,CAR-ABR,Manabo,11611,11609,2788,4.163916786
CAR,CAR-ABR,Peñarrubia,6951,6951,1672,4.157296651
CAR,CAR-ABR,Pidigan,12475,12456,3004,4.146471372
CAR,CAR-ABR,Pilar,10146,10134,2461,4.117838277
CAR,CAR-ABR,Sallapadan,6389,6389,1464,4.364071038
CAR,CAR-ABR,San Isidro,4745,4742,1193,3.974853311
CAR,CAR-ABR,San Juan,10688,10669,2525,4.225346535
CAR,CAR-ABR,San Quintin,5705,5695,1438,3.960361613
CAR,CAR-ABR,Tayum,14869,14864,3507,4.238380382
CAR,CAR-ABR,Tineg,4977,4976,875,5.686857143
CAR,CAR-ABR,Tubo,5674,5661,1028,5.506809339
CAR,CAR-ABR,Villaviciosa,5675,5667,1367,4.14557425
CAR,CAR-APY,Calanasan (Bayag),12550,12457,2607,4.778289221
CAR,CAR-APY,Conner,27552,27465,6143,4.470942536
CAR,CAR-APY,Flora,17944,17899,4559,3.926080281
CAR,CAR-APY,Kabugao (Capital),16215,16173,3506,4.61294923
CAR,CAR-APY,Luna,21297,21172,5047,4.194967307
