region_id,province_id,province,total_population,household_population,number_of_households,_avg_per_household,,,,,,,,
NCR,NCR-MMA,Metro Manila,13484462,13403551,3499652,3.822058475,,,,,,,,
CAR,CAR-ABR,Abra,250985,250309,58956,4.245691702,,,,,,,,
CAR,CAR-APY,Apayao,124366,123937,28862,4.294123761,,,,,,,,
CAR,CAR-BEN,Benguet,827041,822619,216912,4.036302205,,,,,,,,
CAR,CAR-IFU,Ifugao,207498,207130,48756,4.248297645,,,,,,,,
CAR,CAR-KLG,Kalinga,229570,229328,48079,4.769816344,,,,,,,,
CAR,CAR-MTP,Mountain Province,158200,157798,37601,4.196643706,,,,,,,,
R1,R1-ILN,Ilocos Norte,609588,608508,152972,3.977904453,,,,,,,,
R1,R1-ILS,Ilocos Sur,706009,704218,172048,4.093148424,,,,,,,,
R1,R1-LAU,La Union,822352,820343,205034,4.001009589,,,,,,,,
R1,R1-PNG,Pangasinan,3163190,3159228,776202,4.070110616,,,,,,,,
R2,R2-BTN,Batanes,18831,18593,5547,3.351901929,,,,,,,,
R2,R2-CAG,Cagayan,1268603,1265540,301528,4.197089491,,,,,,,,
R2,R2-ISA,Isabela,1697050,1695539,422670,4.011495966,,,,,,,,
R2,R2-NVZ,Nueva Vizcaya,497432,496546,128181,3.873787847,,,,,,,,
R2,R2-QRN,Quirino,203828,203530,49546,4.10789973,,,,,,,,
R3,R3-AUR,Aurora,235750,234991,57037,4.119974753,,,,,,,,
R3,R3-BAT,Bataan,853373,849575,208941,4.0661,,,,,,,,
R3,R3-BUL,Bulacan,3708890,3696937,920608,4.015755892,,,,,,,,
R3,R3-NVE,Nueva Ecija,2310134,2306751,572583,4.028675319,,,,,,,,
R3,R3-PAM,Pampanga,2900637,2894309,690263,4.28435531,,,,,,,,
R3,R3-TAR,Tarlac,1503456,1499064,359561,4.169150714,,,,,,,,
R3,R3-ZAM,Zambales,909932,906184,231495,3.924258242,,,,,,,,
R4A,R4A-BTG,Batangas,2908494,2902855,716192,4.053179874,,,,,,,,
R4A,R4A-CAV,Cavite,4344829,4318663,1096120,3.939954567,,,,,,,,
R4A,R4A-LAG,Laguna,3382193,3373136,915398,3.684884608,,,,,,,,
R4A,R4A-QUE,Quezon,2229383,2223791,550608,4.053204078,,,,,,,,
R4A,R4A-RIZ,Rizal,3330143,3321325,784402,4.234212814,,,,,,,,
R4B,R4B-MAR,Marinduque,239207,238830,60557,3.943887577,,,,,,,,
R4B,R4B-OCM,Occidental Mindoro,525354,521444,126633,4.117757615,,,,,,,,
R4B,R4B-ORM,Oriental Mindoro,908339,906661,215076,4.215537763,,,,,,,,
R4B,R4B-PAL,Palawan,1246673,1237280,312970,4.033538841,,,,,,,,
R4B,R4B-ROM,Romblon,308985,308072,77639,3.96800577,,,,,,,,
R5,R5-ALB,Albay,1374768,1372550,311448,4.40699571,,,,,,,,
R5,R5-CMN,Camarines Norte,629699,628807,144155,4.362020048,,,,,,,,
R5,R5-CMS,Camarines Sur,2068244,2062277,455276,4.529729219,,,,,,,,
R5,R5-CAT,Catanduanes,271879,270775,60352,4.486595308,,,,,,,,
R5,R5-MAS,Masbate,908920,906731,206351,4.394119728,,,,,,,,
R5,R5-SOR,Sorsogon,828655,826150,187462,4.407026491,,,,,,,,
R6,R6-AKL,Aklan,615475,612985,151381,4.049286238,,,,,,,,
R6,R6-ANT,Antique,612974,611478,147696,4.140112122,,,,,,,,
R6,R6-CAP,Capiz,804952,803879,202033,3.978948984,,,,,,,,
R6,R6-GUI,Guimaras,187842,187576,47476,3.950964698,,,,,,,,
R6,R6-ILO,Iloilo,2509525,2503326,610500,4.045737586,,,,,,,,
R6,R6-NOC,Negros Occidental,3223955,3216287,780903,4.108004387,,,,,,,,
R7,R7-BOH,Bohol,1394329,1390524,322022,4.31810249,,,,,,,,
R7,R7-CEB,Cebu,5151274,5124199,1270800,4.11026359,,,,,,,,
R7,R7-NOR,Negros Oriental,1432990,1428548,347961,4.105483086,,,,,,,,
