region_id,region,total_population,household_population,number_of_households,avg_per_household
NCR,National Capital Region,13484462,13403551,3499652,3.829966808
CAR,Cordillera Administrative Region,1797660,1791121,439166,4.298479227
R1,Region I - Ilocos Region,5301139,5292297,1306256,4.035543271
R2,Region II - Cagayan Valley,3685744,3679748,907472,4.054943844
R3,Region III - Central Luzon,12422172,12387811,3040488,4.086895747
R4A,Region IV-A - CALABARZON,16195042,16139770,4062720,3.993087188
R4B,Region IV-B - MIMAROPA,3228558,3212287,792875,4.051441904
R5,Region V - Bicol Region,6082165,6067290,1365044,4.444757825
R6,Region VI - Western Visayas,7954723,7935531,1939989,4.09050309
R7,Region VII - Central Visayas,8081988,8046285,1966588,4.091495016
R8,Region VIII - Eastern Visayas,4547150,4531512,1082106,4.187678471
R9,Region IX - Zamboanga Peninsula,3875576,3862588,895899,4.311410103
R10,Region X - Northern Mindanao,5022768,5007798,1197736,4.181053254
R11,Region XI - Davao Region,5243536,5223802,1337781,3.904825977
R12,Region XII - SOCCSKSARGEN,4360974,4351773,1065453,4.084434508
R13,Region XIII - Caraga,2804788,2795340,661773,4.224016392
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,4944800,4938539,832908,5.929273101
,,,,,
